sn#==#roda,sn#==#glya,sn#==#cheb,sn#==#syi,sn#==#dsbb,sn#==#ptka,sn#==#acek,sn#==#lysp,sn#==#malq,sn#==#kad,sn#==#apt,sn#==#cypb,sn#==#nada,sn#==#efg,sn#==#nrff,sn#==#slp,sn#==#rnc,sn#==#metr,sn#==#asg1,sn#==#ugpq,sn#==#ugpb,sn#==#chew,sn#==#syp,sn#==#rhat,sn#==#ptkc,sn#==#thga,sn#==#nhaa,sn#==#amy2,sn#==#cyph,sn#==#pt1,sn#==#arah,sn#==#lacy,sn#==#ptfa,sn#==#cyoa,sn#==#ecpd,sn#==#atka,sn#==#riml,sn#==#cyod,sn#==#xylf,sn#==#kgtp,sn#==#ptca,sn#==#exbd,sn#==#secd,sn#==#phor,sn#==#fhue,sn#==#ptgb,sn#==#dapd,sn#==#dppc,sn#==#ptwx,sn#==#nlpb,sn#==#tesa,sn#==#dppb,sn#==#pntb,sn#==#frdc,sn#==#cyoc,sn#==#ptwb,sn#==#pttb,sn#==#nhab,sn#==#hem6,sn#==#cn16,sn#==#chea,sn#==#nrfa,sn#==#cpxa,sn#==#atp6,sn#==#cypc,sn#==#sya,sn#==#kup,sn#==#glna,sn#==#kdsa,sn#==#lgt,sn#==#deoc,sn#==#nhar,sn#==#soxs,sn#==#cynr,sn#==#hemn,sn#==#melb,sn#==#syt,sn#==#ampe,sn#==#rimj,sn#==#uspa,sn#==#rhas,sn#==#if2,sn#==#pfla,sn#==#ftsn,sn#==#arop,sn#==#asg2,sn#==#dhg,sn#==#cadb,sn#==#ptkb,sn#==#otc1,sn#==#ompx,sn#==#ptr,sn#==#cira,sn#==#lpla,sn#==#syy,sn#==#crl,sn#==#gabp,sn#==#rbsb,sn#==#tyrb,sn#==#livj,sn#==#arac,sn#==#emrb,sn#==#mcp1,sn#==#pal,sn#==#ipyr,sn#==#uvrb,sn#==#syc,sn#==#sye,sn#==#nlpe,sn#==#syv,sn#==#ompf,sn#==#pnta,sn#==#glts,sn#==#kefc,sn#==#syw,sn#==#dmsc,sn#==#dsba,sn#==#ptma,sn#==#ilvy,sn#==#ptaa,sn#==#chey,sn#==#ddla,sn#==#osmy,sn#==#phoh,sn#==#rhar,sn#==#potf,sn#==#psta,sn#==#tola,sn#==#dppa,sn#==#alkh,sn#==#g6pi,sn#==#tora,sn#==#lysr,sn#==#kdgl,sn#==#rimi,sn#==#sygb,sn#==#livk,sn#==#syfb,sn#==#muli,sn#==#fepb,sn#==#ptha,sn#==#secg,sn#==#malz,sn#==#btur,sn#==#lon,sn#==#nird,sn#==#cysb,sn#==#lnt,sn#==#exbb,sn#==#syr,sn#==#ppb,sn#==#xyla,sn#==#murf,sn#==#eno,sn#==#ampd,sn#==#frdd,sn#==#trea,sn#==#pote,sn#==#ptga,sn#==#mcp4,sn#==#prop,sn#==#mcp2,sn#==#tolq,sn#==#dcta,sn#==#acka,sn#==#ptda,sn#==#nupg,sn#==#sece,sn#==#lspa,sn#==#cyob,sn#==#spea,sn#==#male,sn#==#pepe,sn#==#ompt,sn#==#c562,sn#==#otc2,sn#==#teha,sn#==#eftu,sn#==#ptcc,sn#==#if1,sn#==#feca,sn#==#efts,sn#==#bglx,sn#==#aas,sn#==#cfa,sn#==#chez,sn#==#msbb,sn#==#adi,sn#==#phob,sn#==#pthp,sn#==#malf,sn#==#amy1,sn#==#fhua,sn#==#xyle,sn#==#galp,sn#==#ftsl,sn#==#sym,sn#==#malm,sn#==#prob,sn#==#nlpa,sn#==#caib,sn#==#cred,sn#==#nupc,sn#==#pthb,sn#==#tsx,sn#==#pflb,sn#==#metc,sn#==#ppa,sn#==#dhsc,sn#==#fepd,sn#==#ptfb,sn#==#syfa,sn#==#ompa,sn#==#g3p2,sn#==#dsbd,sn#==#dcp,sn#==#atkc,sn#==#pt1a,sn#==#tnab,sn#==#ompp,sn#==#gltp,sn#==#oppa,sn#==#ptcb,sn#==#ubic,sn#==#thik,sn#==#rne,sn#==#tyrp,sn#==#syk2,sn#==#mota,sn#==#glpq,sn#==#ptba,sn#==#ompr,sn#==#motb,sn#==#tolc,sn#==#rnb,sn#==#fecb,sn#==#syk1,sn#==#htra,sn#==#dhsd,sn#==#metb,sn#==#glnp,sn#==#psts,sn#==#lep,sn#==#fes,sn#==#lldp,sn#==#ecot,sn#==#btub,sn#==#nmpc,sn#==#fepg,sn#==#emra,sn#==#hprt,sn#==#mtr,sn#==#rnd,sn#==#glpt,sn#==#moda,sn#==#phoe,sn#==#phep,sn#==#ptna,sn#==#pstc,sn#==#syh,sn#==#nfra,sn#==#bcr,sn#==#nfrb,sn#==#pa1,sn#==#fepa,sn#==#secf,sn#==#gshr,sn#==#serc,sn#==#sys,sn#==#cspa,sn#==#tbpa,sn#==#potd,sn#==#uhpb,sn#==#cysp,sn#==#xgpt,sn#==#prox,sn#==#ytfq,sn#==#malg,sn#==#cydb,sn#==#syga,sn#==#fadl,sn#==#ycee,sn#==#fabb,sn#==#fimc,sn#==#mepa,sn#==#araf,sn#==#syq,sn#==#ompc,sn#==#codb,sn#==#pmba,sn#==#aat,sn#==#dsbc,sn#==#glnh,sn#==#mcp3,sn#==#nant,sn#==#syl,sn#==#dldh,sn#==#atkb,sn#==#dgal,sn#==#metk,sn#==#fecr,sn#==#cyse,sn#==#ggt,sn#==#gcva,sn#==#cait,sn#==#pgk,sn#==#envz,sn#==#ftsq,sn#==#syd,sn#==#masy,sn#==#gt,sn#==#g3p1,sn#==#agp,sn#==#uvrc,sn#==#slyd,sn#==#lamb,sn#==#bett,sn#==#cyda,sn#==#leu3,sn#==#nfrc,sn#==#arae,sn#==#ftsh,sn#==#tonb,sn#==#ftsw,sn#==#cafa,sn#==#usha,sn#==#metx,sn#==#acea,sn#==#ddlb,sn#==#subi,sn#==#secy,sn#==#tolb,sn#==#pnp,sn#==#glpd,sn#==#cyoe,sn#==#ptoa,-inf#<#mcg#<=#0.41,0.41#<#mcg#<=#0.44,0.44#<#mcg#<=#0.59,0.59#<#mcg#<=#inf,-inf#<#gvh#<=#0.5,0.5#<#gvh#<=#0.55,0.55#<#gvh#<=#0.57,0.57#<#gvh#<=#inf,-inf#<#alm1#<=#0.38,0.38#<#alm1#<=#0.47,0.47#<#alm1#<=#0.55,0.55#<#alm1#<=#inf,label#==#cp
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
