-inf#<#a2#<=#0.0186,0.0186#<#a2#<=#inf,-inf#<#a3#<=#0.0197,0.0197#<#a3#<=#inf,-inf#<#a5#<=#0.0067,0.0067#<#a5#<=#0.0489,0.0489#<#a5#<=#inf,-inf#<#a8#<=#0.0638,0.0638#<#a8#<=#inf,-inf#<#a11#<=#0.197,0.197#<#a11#<=#inf,-inf#<#a12#<=#0.1554,0.1554#<#a12#<=#inf,-inf#<#a15#<=#0.1713,0.1713#<#a15#<=#0.2901,0.2901#<#a15#<=#inf,-inf#<#a27#<=#0.8145,0.8145#<#a27#<=#inf,-inf#<#a37#<=#0.4609,0.4609#<#a37#<=#inf,-inf#<#a43#<=#0.1847,0.1847#<#a43#<=#inf,-inf#<#a45#<=#0.1586,0.1586#<#a45#<=#0.2611,0.2611#<#a45#<=#inf,-inf#<#a47#<=#0.1634,0.1634#<#a47#<=#inf,-inf#<#a49#<=#0.0704,0.0704#<#a49#<=#inf,-inf#<#a55#<=#0.0058,0.0058#<#a55#<=#0.0121,0.0121#<#a55#<=#inf,label#==#mine
0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0
0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0
0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0
1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0
0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0
0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0
0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0
0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0
0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0
1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0
1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0
0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0
1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0
1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0
0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0
0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0
1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0
0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0
